表示開始日,表示終了日,表示開始時刻,表示終了時刻,イベント開始日,イベント終了日,イベント開始時刻,イベント終了時刻,イベント名称,開催場所,主催者名,フリーワード,イベント内容,画像ファイル名
2022/08/01,2022/10/31,10:00,23:00,2022/09/01,2022/10/31,10:00,20:00,野々市市美術展　受賞作品展示,市民展示室,野々市市文化協会,野々市市美術展　受賞作品のご紹介,,
2022/08/01,2022/10/31,10:00,23:00,2022/09/17,2022/10/21,13:00,16:00,弁護士による法律講座&法律相談,研修室・会議室,石川県弁護士協会,講義・相談料は無料です。,【講座】「終活」 〜 人生の締めくくりを考えてみませんか? 〜[CRLF]「終活」にまつわる基本的な知識の講義やエンディングノートの作成、[CRLF]「終活」に向けてためになる情報が盛りだくさん！ [CRLF][CRLF]【 無料相談 】 法律相談[CRLF]弁護士による無料の法律相談です。[CRLF]お困りのことならなんでもご相談ください！（お1人様30分） [CRLF]※講座参加者限定[CRLF][CRLF],sample01_1366x768.jpg
2022/08/01,2022/10/31,10:00,23:00,2022/09/24,2022/10/28,13:00,16:00,司法書士によるくらしの法律講座 ,研修室・会議室,石川県司法書士協会,参加費は無料です。,【講座】 「相続にまつわるエトセトラ」[CRLF] 遺産は、何を、誰がどうやって受け継ぐの？[CRLF] 相続にかかわる疑問と対処法を司法書士が紹介します。[CRLF][CRLF]後半は、身近な法律トラブルの解決に役立つ本の紹介や[CRLF]法情報総合データベースの使い方を解説します。[CRLF][CRLF],sample01_1366x768.jpg
2022/08/01,2022/10/31,10:00,23:00,2022/09/26,,10:00,17:00,図書館探検と図書館をたのしむおはなし会,図書館１Ｆ・２Ｆ,野々市市図書館,対象：小学生とその保護者、中学生,いつもは入れない書庫の中を、たんけんしてみませんか。[CRLF]図書館が出てくるえほんのよみきかせもします。[CRLF]図書館のひみつを見つけにきてください！[CRLF][CRLF]定員：各回20名程度（申し込み順）[CRLF]その他：公共交通機関をご利用ください。[CRLF],sample01_300x210.jpg
2022/08/01,2022/10/31,10:00,23:00,2022/09/26,,10:00,12:00,はじめての古文書 〜古文書解読入門〜,研修室・会議室,野々市歴史研究会,"費用：3,000円（資料代など）",はじめて古文書に接する方を対象とした講座を開催いたします。[CRLF]講師には.、歴史に造詣の深い専門家の先生や研究会の会員が、[CRLF]古文書の読解と地域の歴史研究の方法についてわかりやすく講義いたします。[CRLF][CRLF]対象：はじめて古文書に接する方、または入門レベルで学ぶことを希望する方[CRLF][CRLF],sample02_1366x768.jpg
2022/08/01,2022/10/31,10:00,23:00,2022/09/26,,11:00,12:00,朗読会　「夏のえほんの時間」,お話会コーナー,野々市市教育委員会,参加費は無料です。,夏休みに、えほんのよみきかせや手あそびをいっしょに楽しみましょう。[CRLF]だれでもさんかできます。 [CRLF][CRLF]定員：各回20名程度（申し込み順）[CRLF]その他： 小学3年生以下の方はおうちの人と参加してください。[CRLF],sample02_300x210.jpg
2022/08/01,2022/10/31,10:00,23:00,2022/09/26,,13:00,15:00,あたまイキイキ音読サロン,お話会コーナー,野々市市図書館,参加費は無料です。,,
2022/08/01,2022/10/31,10:00,23:00,2022/09/26,,14:00,18:00,夏の定期演奏練習会,音楽スタジオ,野々市市民管弦楽団,楽器は各自責任をもって管理してください,,
2022/08/01,2022/10/31,10:00,23:00,2022/09/26,,16:00,17:00,朗読会　「おはなしの夕べ」,お話会コーナー,野々市市教育委員会,対象：小学生とその保護者,,
2022/08/01,2022/10/31,10:00,23:00,2022/09/26,,17:00,18:00,読書を楽しむための講座,研修室・会議室,野々市市図書館,参加費は無料です。,,
2022/08/01,2022/10/31,10:00,23:00,2022/09/26,,19:00,20:00,親子で学ぶやさしい星座鑑賞講座,２Ｆ小会議室・テラス,野々市市教育委員会,対象：小学生とその保護者、中学生,,
